subj,task,feature,match,RT_dual,RT_sing
R_uk8lyne8BTwZWx3,gap,conj,m,0.562,0.543
R_uk8lyne8BTwZWx3,gap,conj,mm,0.741,0.565
R_UnfbYQPONiXwHgB,no_gap,conj,m,1.225,0.857
R_UnfbYQPONiXwHgB,no_gap,conj,mm,1.365,1.267
R_vcofmMoT48YgqGd,no_gap,conj,mm,0.966,1.276
R_vcofmMoT48YgqGd,no_gap,conj,m,1.157,1.319
R_vcRLjOIJganFB5L,gap,conj,mm,0.803,0.62
R_vcRLjOIJganFB5L,gap,conj,m,0.963,0.679
R_vdAXj8lKTQiuvLj,no_gap,conj,mm,1.401,2.067
R_vdAXj8lKTQiuvLj,no_gap,conj,m,1.995,2.167
R_vf2rDe2loSzFI4h,gap,conj,m,1.279,1.818
R_vf2rDe2loSzFI4h,gap,conj,mm,1.851,1.858
R_vl7yAhjMq73ut4l,no_gap,conj,mm,0.902,0.977
R_vl7yAhjMq73ut4l,no_gap,conj,m,0.961,1.04
R_vMGeXCE2A7fFihP,gap,conj,mm,0.859,1.1
R_vMGeXCE2A7fFihP,gap,conj,m,1.173,1.294
