subj,task,feature,match,accuracy,RT
141,no_gap,conj,m,1,1.007
141,no_gap,conj,mm,1,0.629
141,no_gap,sing,m,1,1.063
141,no_gap,sing,mm,1,0.847
142,no_gap,conj,m,1,0.925
142,no_gap,conj,mm,1,1.071
142,no_gap,sing,m,1,0.631
142,no_gap,sing,mm,1,0.683
143,no_gap,conj,m,1,1.269
143,no_gap,conj,mm,1,0.709
143,no_gap,sing,m,0.875,1.026
143,no_gap,sing,mm,0.875,1.032
144,gap,conj,m,1,0.686
144,gap,conj,mm,1,1.067
144,gap,sing,m,1,1.859
144,gap,sing,mm,1,1.759
145,no_gap,conj,m,0.875,1.216
145,no_gap,conj,mm,1,2.137
145,no_gap,sing,m,0.875,1.001
145,no_gap,sing,mm,1,1.037
146,no_gap,conj,m,1,0.911
146,no_gap,conj,mm,1,1.003
146,no_gap,sing,m,1,0.825
146,no_gap,sing,mm,1,0.915
147,gap,conj,m,0.875,1.3
147,gap,conj,mm,0.75,1.224
147,gap,sing,m,0.875,1.583
147,gap,sing,mm,0.875,1.536
148,gap,conj,m,1,1.21
148,gap,conj,mm,1,1.373
148,gap,sing,m,0.75,0.998
148,gap,sing,mm,0.875,0.852
149,no_gap,conj,m,0.875,1.13
149,no_gap,conj,mm,1,1.181
149,no_gap,sing,m,1,1.547
149,no_gap,sing,mm,1,1.475
150,gap,conj,m,0.75,1.071
150,gap,conj,mm,1,1.105
150,gap,sing,m,1,0.539
150,gap,sing,mm,0.875,0.654
151,gap,conj,m,1,0.626
151,gap,conj,mm,1,0.625
151,gap,sing,m,1,0.748
151,gap,sing,mm,1,0.911
152,no_gap,conj,m,1,1.36
152,no_gap,conj,mm,1,1.217
152,no_gap,sing,m,1,1.033
152,no_gap,sing,mm,1,1.454
153,no_gap,conj,m,0.875,1.121
153,no_gap,conj,mm,0.75,1.206
153,no_gap,sing,m,1,0.843
153,no_gap,sing,mm,1,0.709
154,no_gap,conj,m,1,1.01
154,no_gap,conj,mm,1,1.09
154,no_gap,sing,m,1,0.913
154,no_gap,sing,mm,1,0.76
155,no_gap,conj,m,1,0.965
155,no_gap,conj,mm,1,0.799
155,no_gap,sing,m,1,0.542
155,no_gap,sing,mm,1,0.563
156,no_gap,conj,m,1,0.456
156,no_gap,conj,mm,1,0.518
156,no_gap,sing,m,1,0.924
156,no_gap,sing,mm,0.875,0.756
157,no_gap,conj,m,1,0.961
157,no_gap,conj,mm,1,0.784
157,no_gap,sing,m,1,0.976
157,no_gap,sing,mm,1,1.263
158,gap,conj,m,1,0.67
158,gap,conj,mm,0.75,0.791
158,gap,sing,m,1,1.048
158,gap,sing,mm,1,1.208
159,no_gap,conj,m,0.875,0.978
159,no_gap,conj,mm,1,1.109
159,no_gap,sing,m,1,1.044
159,no_gap,sing,mm,1,1.323
160,gap,conj,m,0.875,0.73
160,gap,conj,mm,1,1.026
160,gap,sing,m,1,0.601
160,gap,sing,mm,1,0.636
