Subject,List,FirstorSecond,Accuracy,SentenceBlankPictureGrayACC,SentenceBlankPictureColorACC,SentenceColorPictureColorACC,SentenceColorPictureGrayscaleACC,SentenceBlankPictureGrayRT,SentenceBlankPictureColorRT,SentenceColorPictureColorRT,SentenceColorPictureGrayRT,Experiment
177,2,1,0.979166667,1,1,1,0.916666667,720,963.5,787,1003,1
179,4,2,1,1,1,1,1,833,770.5,788,1106,1
181,2,1,0.958333333,1,0.916666667,0.916666667,1,772.5,845,648,1016,1
183,4,1,0.979166667,1,1,0.916666667,1,1505,1583,2204,1954,1
185,2,2,0.958333333,1,0.833333333,1,1,937,1050,766,1000.5,1
189,2,1,1,1,1,1,1,630.5,651,710,636.5,1
191,4,2,1,1,1,1,1,909,1142,805,965.5,1
195,4,2,0.979166667,0.916666667,1,1,1,657,653,707,778,1
197,2,1,0.979166667,1,0.916666667,1,1,437.5,505,472.5,485,1
199,4,1,1,1,1,1,1,709.5,921.5,678,737.5,1
201,4,2,0.9375,1,0.833333333,1,0.916666667,575.5,531,468.5,568,1
203,1,2,1,1,1,1,1,1110,985.5,891,1055,1
205,3,2,0.979166667,1,1,1,0.916666667,565,562,511.5,726,1
207,1,1,0.9375,0.75,1,1,1,1592,1821,809.5,961.5,1
209,3,2,1,1,1,1,1,866,871,923.5,997.5,1
211,1,1,1,1,1,1,1,468,543.5,512.5,639,1
213,3,2,0.958333333,0.916666667,1,1,0.916666667,627,615.5,651,570,1
215,1,1,1,1,1,1,1,700.5,660.5,619,649,1
217,3,2,0.958333333,0.916666667,1,1,0.916666667,719,665.5,667.5,673,1
219,1,2,0.979166667,1,1,1,0.916666667,1651,1316.5,1194.5,1080,1
221,3,2,1,1,1,1,1,571,447,455,697.5,1
223,1,2,1,1,1,1,1,729.5,640.5,657.5,763,1
225,3,2,0.979166667,1,1,0.916666667,1,722.5,565,757,665,1
227,1,1,1,1,1,1,1,646,704.5,639.5,685,1
229,3,1,1,1,1,1,1,988.5,1241,998.5,1040.5,1
231,1,2,1,1,1,1,1,872,707.5,775.5,692.5,1
233,3,1,1,1,1,1,1,760.5,563,825.5,682,1
235,1,1,0.979166667,1,1,1,0.916666667,622,559.5,546,616,1
36,1,1,1,1,1,1,1,621,514.5,679,580,2
38,2,1,1,1,1,1,1,895,850.5,882,925.5,2
40,3,2,0.979166667,1,0.916666667,1,1,1018,790,911,957.5,2
42,4,2,0.9375,0.833333333,1,1,0.916666667,1291,1289,1319,1154,2
44,1,1,0.958333333,0.916666667,1,1,0.916666667,1014,1053.5,972,1263,2
46,2,2,1,1,1,1,1,1055.5,830,1108.5,1210.5,2
