Task,Trial Type,PPnr,accuracy,reaction_time
long cue,dual feature,R_xfUcAaPbjk0g6Jz,NaN,NaN
long cue,dual feature,R_Y050be3d1qTgt21,NaN,NaN
long cue,dual feature,R_ykzlIRPd0KX2ZW1,NaN,NaN
long cue,dual feature,R_ypQ4ZCs1p2l24eJ,NaN,NaN
long cue,dual feature,R_yPWGGeD3XC6CB0t,NaN,NaN
long cue,dual feature,R_1240oKwSUYFSJUY,1,0.564
long cue,dual feature,R_125qGAPsEKNgCik,0.875,0.835
long cue,dual feature,R_1BYsxPc3DVzRRdc,1,1.17
long cue,dual feature,R_1C4075atnBURXV9,0.938,0.709
long cue,dual feature,R_1Ca7oDDfGUuqpD2,0.938,0.906
long cue,dual feature,R_1DUQTsUdLXCAotg,0.938,0.781
long cue,dual feature,R_1Ed18J86Ydnz5JK,0.875,1.15
long cue,dual feature,R_1F3O1RwVVn1ANjS,0.938,1.15
long cue,dual feature,R_1fd9g37kVcLlQon,0.938,0.841
long cue,dual feature,R_1fjeMABd9YtFdM2,1,0.977
long cue,dual feature,R_1FkyCxrQzCKlVM3,0.875,0.954
long cue,dual feature,R_1FlZaoI26lrL1xW,0.875,0.821
long cue,dual feature,R_1FQy7LAFBlt3sbw,0.938,1.02
long cue,dual feature,R_1FzvTdctlBl6mau,0.875,0.983
long cue,dual feature,R_1GEw2ntVr6WT5FY,1,0.545
long cue,dual feature,R_1gGFiI9dwPgNWnF,0.813,0.654
long cue,dual feature,R_1gTnf5neAjKhFhT,0.625,1.22
long cue,dual feature,R_1H5WiYRCLXLoMr6,1,0.946
long cue,dual feature,R_1hKL5I25Q84xW4U,0.813,2.11
long cue,dual feature,R_1hXp8VCud7SMiKb,0.938,0.654
long cue,dual feature,R_1IagvrDfWeu1SzI,0.938,1.21
long cue,dual feature,R_1iffR2ZzRyikKgD,0.875,0.805
long cue,dual feature,R_1jrMskfuP7Mrr9S,0.938,0.451
long cue,dual feature,R_1K2LTDdSTkk0CkO,0.875,0.85
long cue,dual feature,R_1KkDDjZQonL8jXf,0.938,1.23
long cue,dual feature,R_1lo8TnSLVLCPrMI,0.938,1.04
long cue,dual feature,R_1Nex25Z07JEPqPT,1,0.894
long cue,dual feature,R_1oAMtAsotlpba75,1,0.791
long cue,dual feature,R_1oBEFfxegvaFxqs,0.938,0.826
long cue,dual feature,R_1OE6gsnJdCYDJNp,0.875,1.33
long cue,dual feature,R_1OJJIMbAOHmEsc6,0.875,0.729
long cue,dual feature,R_1onlnd0PSlmh0kP,1,0.949
long cue,dual feature,R_1Oy5gti2oOMkrmx,0.938,1.28
long cue,dual feature,R_1pJPjmN0ZA5yTy2,0.938,1.83
long cue,dual feature,R_1ptx896QKfU4151,0.75,1.04
long cue,dual feature,R_1Q0nnQSbpfMIzl8,0.75,2.06
long cue,dual feature,R_1QcQ8lM8sMgbe9Z,1,0.598
long cue,dual feature,R_1QhHQgn3oncjPVH,1,0.649
long cue,dual feature,R_1r9CI6AFSBMawII,0.875,0.679
long cue,dual feature,R_2107Kbqwjw5sjVi,1,0.513
long cue,dual feature,R_21A0Opwy47DGP0D,0.938,0.635
long cue,dual feature,R_21ixygMv7kGQldy,1,0.65
long cue,dual feature,R_232mnWKrVorZxtV,0.938,1.22
long cue,dual feature,R_23UGi46yIwlgRIg,0.938,0.736
long cue,dual feature,R_23V6KyyFTKNSfr0,0.938,1.17
